,tweet_id,in_reply_to_status_id,in_reply_to_user_id,timestamp,source,text,expanded_urls,rating_numerator,rating_denominator,name,jpg_url,img_num,p1,p1_conf,p2,p2_conf,p3,p3_conf,created_at,favourites_count,retweet_count,retweeted,dog_stage
1,892177421306343426,,,2017-08-01 00:17:27,http://twitter.com/download,"This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boops, the whole bit. 13/10 https://t.co/0Xxu71qeIV",https://twitter.com/dog_rates/status/892177421306343426/photo/1,13,10,Tilly,https://pbs.twimg.com/media/DGGmoV4XsAAUL6n.jpg,1.0,chihuahua,0.323581,chihuahua,0.0906465,chihuahua,0.0689569,2017-08-01 00:17:27,130386,6387,False,
2,891815181378084864,,,2017-07-31 00:18:03,http://twitter.com/download,This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike. 12/10 https://t.co/wUnZnhtVJB,https://twitter.com/dog_rates/status/891815181378084864/photo/1,12,10,Archie,https://pbs.twimg.com/media/DGBdLU1WsAANxJ9.jpg,1.0,chihuahua,0.716012,chihuahua,0.078253,chihuahua,0.0313789,2017-07-31 00:18:03,130386,4245,False,
4,891327558926688256,,,2017-07-29 16:00:24,http://twitter.com/download,"This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such. 12/10 #BarkWeek https://t.co/AtUZn91f7f","https://twitter.com/dog_rates/status/891327558926688256/photo/1,https://twitter.com/dog_rates/status/891327558926688256/photo/1",12,10,Franklin,https://pbs.twimg.com/media/DF6hr6BUMAAzZgT.jpg,2.0,basset,0.555712,basset,0.22577,basset,0.175219,2017-07-29 16:00:24,130386,9586,False,
7,890729181411237888,,,2017-07-28 00:22:40,http://twitter.com/download,When you watch your owner call another dog a good boy but then they turn back to you and say you're a great boy. 13/10 https://t.co/v0nONBcwxq,"https://twitter.com/dog_rates/status/890729181411237888/photo/1,https://twitter.com/dog_rates/status/890729181411237888/photo/1",13,10,,https://pbs.twimg.com/media/DFyBahAVwAAhUTd.jpg,2.0,pomeranian,0.566142,pomeranian,0.17840599999999998,pomeranian,0.0765069,2017-07-28 00:22:40,130386,19291,False,
8,890609185150312448,,,2017-07-27 16:25:51,http://twitter.com/download,This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet. 13/10 #BarkWeek https://t.co/9TwLuAGH0b,https://twitter.com/dog_rates/status/890609185150312448/photo/1,13,10,Zoey,https://pbs.twimg.com/media/DFwUU__XcAEpyXI.jpg,1.0,irish terrier,0.487574,irish terrier,0.193054,irish terrier,0.118184,2017-07-27 16:25:51,130386,4341,False,
9,890240255349198849,,,2017-07-26 15:59:51,http://twitter.com/download,This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant much sophisticate https://t.co/t1bfwz5S2A,https://twitter.com/dog_rates/status/890240255349198849/photo/1,14,10,Cassie,https://pbs.twimg.com/media/DFrEyVuW0AAO3t9.jpg,1.0,pembroke,0.511319,pembroke,0.451038,pembroke,0.0292482,2017-07-26 15:59:51,130386,7574,False,doggo
10,890006608113172480,,,2017-07-26 00:31:25,http://twitter.com/download,This is Koda. He is a South Australian deckshark. Deceptively deadly. Frighteningly majestic. 13/10 would risk a petting #BarkWeek https://t.co/dVPW0B0Mme,"https://twitter.com/dog_rates/status/890006608113172480/photo/1,https://twitter.com/dog_rates/status/890006608113172480/photo/1",13,10,Koda,https://pbs.twimg.com/media/DFnwSY4WAAAMliS.jpg,1.0,samoyed,0.957979,samoyed,0.0138835,samoyed,0.00816748,2017-07-26 00:31:25,130386,7485,False,
12,889665388333682689,,,2017-07-25 01:55:32,http://twitter.com/download,Here's a puppo that seems to be on the fence about something haha no but seriously someone help her. 13/10 https://t.co/BxvuXk0UCm,https://twitter.com/dog_rates/status/889665388333682689/photo/1,13,10,,https://pbs.twimg.com/media/DFi579UWsAAatzw.jpg,1.0,pembroke,0.966327,pembroke,0.0273557,pembroke,0.00463323,2017-07-25 01:55:32,130386,10256,False,puppo
13,889638837579907072,,,2017-07-25 00:10:02,http://twitter.com/download,This is Ted. He does his best. Sometimes that's not enough. But it's ok. 12/10 would assist https://t.co/f8dEDcrKSR,"https://twitter.com/dog_rates/status/889638837579907072/photo/1,https://twitter.com/dog_rates/status/889638837579907072/photo/1",12,10,Ted,https://pbs.twimg.com/media/DFihzFfXsAYGDPR.jpg,1.0,french bulldog,0.99165,french bulldog,0.00212864,french bulldog,0.00149818,2017-07-25 00:10:02,130386,4635,False,
14,889531135344209921,,,2017-07-24 17:02:04,http://twitter.com/download,This is Stuart. He's sporting his favorite fanny pack. Secretly filled with bones only. 13/10 puppared puppo #BarkWeek https://t.co/y70o6h3isq,https://twitter.com/dog_rates/status/889531135344209921/photo/1,13,10,Stuart,https://pbs.twimg.com/media/DFg_2PVW0AEHN3p.jpg,1.0,golden retriever,0.953442,golden retriever,0.0138341,golden retriever,0.00795775,2017-07-24 17:02:04,130386,2272,False,puppo
15,889278841981685760,,,2017-07-24 00:19:32,http://twitter.com/download,This is Oliver. You're witnessing one of his many brutal attacks. Seems to be playing with his victim. 13/10 fr*ckin frightening #BarkWeek https://t.co/WpHvrQedPb,https://twitter.com/dog_rates/status/889278841981685760/video/1,13,10,Oliver,https://pbs.twimg.com/ext_tw_video_thumb/889278779352338437/pu/img/VlbFB3v8H8VwzVNY.jpg,1.0,whippet,0.626152,whippet,0.194742,whippet,0.0273507,2017-07-24 00:19:32,130386,5550,False,
16,888917238123831296,,,2017-07-23 00:22:39,http://twitter.com/download,This is Jim. He found a fren. Taught him how to sit like the good boys. 12/10 for both https://t.co/chxruIOUJN,https://twitter.com/dog_rates/status/888917238123831296/photo/1,12,10,Jim,https://pbs.twimg.com/media/DFYRgsOUQAARGhO.jpg,1.0,golden retriever,0.714719,golden retriever,0.120184,golden retriever,0.105506,2017-07-23 00:22:39,130386,4598,False,
17,888804989199671297,,,2017-07-22 16:56:37,http://twitter.com/download,This is Zeke. He has a new stick. Very proud of it. Would like you to throw it for him without taking it. 13/10 would do my best https://t.co/HTQ77yNQ5K,"https://twitter.com/dog_rates/status/888804989199671297/photo/1,https://twitter.com/dog_rates/status/888804989199671297/photo/1",13,10,Zeke,https://pbs.twimg.com/media/DFWra-3VYAA2piG.jpg,1.0,golden retriever,0.46976,golden retriever,0.184172,golden retriever,0.0734817,2017-07-22 16:56:37,130386,4450,False,
18,888554962724278272,,,2017-07-22 00:23:06,http://twitter.com/download,This is Ralphus. He's powering up. Attempting maximum borkdrive. 13/10 inspirational af https://t.co/YnYAFCTTiK,"https://twitter.com/dog_rates/status/888554962724278272/photo/1,https://twitter.com/dog_rates/status/888554962724278272/photo/1,https://twitter.com/dog_rates/status/888554962724278272/photo/1,https://twitter.com/dog_rates/status/888554962724278272/photo/1",13,10,Ralphus,https://pbs.twimg.com/media/DFTH_O-UQAACu20.jpg,3.0,siberian husky,0.700377,siberian husky,0.166511,siberian husky,0.111411,2017-07-22 00:23:06,130386,3670,False,
19,888078434458587136,,,2017-07-20 16:49:33,http://twitter.com/download,This is Gerald. He was just told he didn't get the job he interviewed for. A h*ckin injustice. 12/10 didn't want the job anyway https://t.co/DK7iDPfuRX,"https://twitter.com/dog_rates/status/888078434458587136/photo/1,https://twitter.com/dog_rates/status/888078434458587136/photo/1",12,10,Gerald,https://pbs.twimg.com/media/DFMWn56WsAAkA7B.jpg,1.0,french bulldog,0.995026,french bulldog,0.000931908,french bulldog,0.000903211,2017-07-20 16:49:33,130386,3590,False,
20,887705289381826560,,,2017-07-19 16:06:48,http://twitter.com/download,This is Jeffrey. He has a monopoly on the pool noodles. Currently running a 'boop for two' midweek sale. 13/10 h*ckin strategic https://t.co/PhrUk20Q64,https://twitter.com/dog_rates/status/887705289381826560/photo/1,13,10,Jeffrey,https://pbs.twimg.com/media/DFHDQBbXgAEqY7t.jpg,1.0,basset,0.821664,basset,0.0875815,basset,0.026236400000000003,2017-07-19 16:06:48,130386,5506,False,
22,887473957103951883,,,2017-07-19 00:47:34,http://twitter.com/download,This is Canela. She attempted some fancy porch pics. They were unsuccessful. 13/10 someone help her https://t.co/cLyzpcUcMX,"https://twitter.com/dog_rates/status/887473957103951883/photo/1,https://twitter.com/dog_rates/status/887473957103951883/photo/1",13,10,Canela,https://pbs.twimg.com/media/DFDw2tyUQAAAFke.jpg,2.0,pembroke,0.809197,pembroke,0.05495,pembroke,0.0389148,2017-07-19 00:47:34,130386,18627,False,
24,887101392804085760,,,2017-07-18 00:07:08,http://twitter.com/download,This... is a Jubilant Antarctic House Bear. We only rate dogs. Please only send dogs. Thank you... 12/10 would suffocate in floof https://t.co/4Ad1jzJSdp,https://twitter.com/dog_rates/status/887101392804085760/photo/1,12,10,,https://pbs.twimg.com/media/DE-eAq6UwAA-jaE.jpg,1.0,samoyed,0.733942,samoyed,0.0350295,samoyed,0.029704700000000007,2017-07-18 00:07:08,130386,6081,False,
26,886736880519319552,,,2017-07-16 23:58:41,http://twitter.com/download,"This is Mingus. He's a wonderful father to his smol pup. Confirmed 13/10, but he needs your help

https://t.co/bVi0Yr4Cff https://t.co/ISvKOSkd5b","https://www.gofundme.com/mingusneedsus,https://twitter.com/dog_rates/status/886736880519319552/photo/1,https://twitter.com/dog_rates/status/886736880519319552/photo/1",13,10,Mingus,https://pbs.twimg.com/media/DE5Se8FXcAAJFx4.jpg,1.0,kuvasz,0.309706,kuvasz,0.186136,kuvasz,0.08634630000000001,2017-07-16 23:58:41,130386,3366,False,
28,886366144734445568,,,2017-07-15 23:25:31,http://twitter.com/download,This is Roscoe. Another pupper fallen victim to spontaneous tongue ejections. Get the BlepiPen immediate. 12/10 deep breaths Roscoe https://t.co/RGE08MIJox,"https://twitter.com/dog_rates/status/886366144734445568/photo/1,https://twitter.com/dog_rates/status/886366144734445568/photo/1",12,10,Roscoe,https://pbs.twimg.com/media/DE0BTnQUwAApKEH.jpg,1.0,french bulldog,0.999201,french bulldog,0.000361178,french bulldog,7.55616e-05,2017-07-15 23:25:31,130386,3249,False,pupper
31,885984800019947520,,,2017-07-14 22:10:11,http://twitter.com/download,Viewer discretion advised. This is Jimbo. He will rip ur finger right h*ckin off. Other dog clearly an accessory. 12/10 pls pet with caution https://t.co/BuveP0uMF1,https://twitter.com/dog_rates/status/885984800019947520/photo/1,12,10,Jimbo,https://pbs.twimg.com/media/DEumeWWV0AA-Z61.jpg,1.0,blenheim spaniel,0.972494,blenheim spaniel,0.00663012,blenheim spaniel,0.00623915,2017-07-14 22:10:11,130386,6947,False,
32,885528943205470208,,,2017-07-13 15:58:47,http://twitter.com/download,This is Maisey. She fell asleep mid-excavation. Happens to the best of us. 13/10 would pat noggin approvingly https://t.co/tp1kQ8i9JF,https://twitter.com/dog_rates/status/885528943205470208/photo/1,13,10,Maisey,https://pbs.twimg.com/media/DEoH3yvXgAAzQtS.jpg,1.0,pug,0.369275,pug,0.265835,pug,0.134697,2017-07-13 15:58:47,130386,6565,False,
34,885167619883638784,,,2017-07-12 16:03:00,http://twitter.com/download,Here we have a corgi undercover as a malamute. Pawbably doing important investigative work. Zero control over tongue happenings. 13/10 https://t.co/44ItaMubBf,"https://twitter.com/dog_rates/status/885167619883638784/photo/1,https://twitter.com/dog_rates/status/885167619883638784/photo/1,https://twitter.com/dog_rates/status/885167619883638784/photo/1,https://twitter.com/dog_rates/status/885167619883638784/photo/1",13,10,,https://pbs.twimg.com/media/DEi_N9qXYAAgEEw.jpg,4.0,malamute,0.8124819999999999,malamute,0.0717125,malamute,0.0557697,2017-07-12 16:03:00,130386,4465,False,
35,884925521741709313,,,2017-07-12 00:01:00,http://twitter.com/download,"This is Earl. He found a hat. Nervous about what you think of it. 12/10 it's delightful, Earl https://t.co/MYJvdlNRVa",https://twitter.com/dog_rates/status/884925521741709313/photo/1,12,10,Earl,https://pbs.twimg.com/media/DEfjEaNXkAAtPlj.jpg,1.0,italian greyhound,0.259916,italian greyhound,0.198451,italian greyhound,0.127725,2017-07-12 00:01:00,130386,18895,False,
36,884876753390489601,,,2017-07-11 20:47:12,http://twitter.com/download,This is Lola. It's her first time outside. Must test the earth and taste the atmosphere. 13/10 you're doing great Lola https://t.co/74TKAUsLkO,"https://twitter.com/dog_rates/status/884876753390489601/photo/1,https://twitter.com/dog_rates/status/884876753390489601/photo/1,https://twitter.com/dog_rates/status/884876753390489601/photo/1,https://twitter.com/dog_rates/status/884876753390489601/photo/1",13,10,Lola,https://pbs.twimg.com/media/DEe2tZXXkAAwyX3.jpg,1.0,chow,0.822103,chow,0.106075,chow,0.0373485,2017-07-11 20:47:12,130386,5967,False,
37,884562892145688576,,,2017-07-11 00:00:02,http://twitter.com/download,This is Kevin. He's just so happy. 13/10 what is your secret Kevin https://t.co/1r4MFCbCX5,https://twitter.com/dog_rates/status/884562892145688576/photo/1,13,10,Kevin,https://pbs.twimg.com/media/DEaZQkfXUAEC7qB.jpg,1.0,pug,0.5464060000000001,pug,0.404291,pug,0.0440019,2017-07-11 00:00:02,130386,5027,False,
38,884441805382717440,,,2017-07-10 15:58:53,http://twitter.com/download,"I present to you, Pup in Hat. Pup in Hat is great for all occasions. Extremely versatile. Compact as h*ck. 14/10 (IG: itselizabethgales) https://t.co/vvBOcC2VdC",https://twitter.com/dog_rates/status/884441805382717440/photo/1,14,10,,https://pbs.twimg.com/media/DEYrIZwWsAA2Wo5.jpg,1.0,pembroke,0.993225,pembroke,0.00321648,pembroke,0.00208089,2017-07-10 15:58:53,130386,5775,False,
40,884162670584377345,,,2017-07-09 21:29:42,http://twitter.com/download,Meet Yogi. He doesn't have any important dog meetings today he just enjoys looking his best at all times. 12/10 for dangerously dapper doggo https://t.co/YSI00BzTBZ,https://twitter.com/dog_rates/status/884162670584377345/photo/1,12,10,Yogi,https://pbs.twimg.com/media/DEUtQbzW0AUTv_o.jpg,1.0,german shepherd,0.707046,german shepherd,0.199396,german shepherd,0.0491476,2017-07-09 21:29:42,130386,3053,False,doggo
41,883838122936631299,,,2017-07-09 00:00:04,http://twitter.com/download,This is Noah. He can't believe someone made this mess. Got the vacuum out for you though. Offered to help clean pup. 12/10 super good boy https://t.co/V85xujjDDY,https://twitter.com/dog_rates/status/883838122936631299/photo/1,12,10,Noah,https://pbs.twimg.com/media/DEQGFgAXUAAEvfi.jpg,1.0,doberman,0.610946,doberman,0.299603,doberman,0.0630203,2017-07-09 00:00:04,130386,3519,False,
42,883482846933004288,,,2017-07-08 00:28:19,http://twitter.com/download,"This is Bella. She hopes her smile made you smile. If not, she is also offering you her favorite monkey. 13.5/10 https://t.co/qjrljjt948","https://twitter.com/dog_rates/status/883482846933004288/photo/1,https://twitter.com/dog_rates/status/883482846933004288/photo/1",13.5,10,Bella,https://pbs.twimg.com/media/DELC9dZXUAADqUk.jpg,1.0,golden retriever,0.943082,golden retriever,0.032409,golden retriever,0.00550072,2017-07-08 00:28:19,130386,10190,False,
